ID,ID+F,animal,Time point,E-Bifi,E-Clos,E-Spiro,Enterotype,Enterotype_dynamics,TimeCluster,DynamicStand05012021,Age,Group,1-Lambda' (Simpson),H'(loge) (Shannon),J' (Pielous evenness),C0,C2,C3,C3-DC (C4-OH),C3-OH,C3:1,C4,C4:1,C5,C5-DC (C6-OH),C5-M-DC,C5-OH (C3-DC-M),C5:1,C5:1-DC,C6 (C4:1-DC),C6:1,C7-DC,C8,C9,C10,C10:1,C10:2,C12,C12-DC,C12:1,C14,C14:1,C14:1-OH,C14:2,C14:2-OH,C16,C16-OH,C16:1,C16:1-OH,C16:2,C16:2-OH,C18,C18:1,C18:1-OH,C18:2,lysoPC a C14:0,lysoPC a C16:0,lysoPC a C16:1,lysoPC a C17:0,lysoPC a C18:0,lysoPC a C18:1,lysoPC a C18:2,lysoPC a C20:3,lysoPC a C20:4,lysoPC a C24:0,lysoPC a C26:0,lysoPC a C26:1,lysoPC a C28:0,lysoPC a C28:1,PC aa C24:0,PC aa C26:0,PC aa C28:1,PC aa C30:0,PC aa C30:2,PC aa C32:0,PC aa C32:1,PC aa C32:2,PC aa C32:3,PC aa C34:1,PC aa C34:2,PC aa C34:3,PC aa C34:4,PC aa C36:0,PC aa C36:1,PC aa C36:2,PC aa C36:3,PC aa C36:4,PC aa C36:5,PC aa C36:6,PC aa C38:0,PC aa C38:1,PC aa C38:3,PC aa C38:4,PC aa C38:5,PC aa C38:6,PC aa C40:1,PC aa C40:2,PC aa C40:3,PC aa C40:4,PC aa C40:5,PC aa C40:6,PC aa C42:0,PC aa C42:1,PC aa C42:2,PC aa C42:4,PC aa C42:5,PC aa C42:6,PC ae C30:0,PC ae C30:1,PC ae C30:2,PC ae C32:1,PC ae C32:2,PC ae C34:0,PC ae C34:1,PC ae C34:2,PC ae C34:3,PC ae C36:0,PC ae C36:1,PC ae C36:2,PC ae C36:3,PC ae C36:4,PC ae C36:5,PC ae C38:0,PC ae C38:1,PC ae C38:2,PC ae C38:3,PC ae C38:4,PC ae C38:5,PC ae C38:6,PC ae C40:1,PC ae C40:2,PC ae C40:3,PC ae C40:4,PC ae C40:5,PC ae C40:6,PC ae C42:0,PC ae C42:1,PC ae C42:2,PC ae C42:3,PC ae C42:4,PC ae C42:5,PC ae C44:3,PC ae C44:4,PC ae C44:5,PC ae C44:6,SM (OH) C14:1,SM (OH) C16:1,SM (OH) C22:1,SM (OH) C22:2,SM (OH) C24:1,SM C16:0,SM C16:1,SM C18:0,SM C18:1,SM C20:2,SM C22:3,SM C24:0,SM C24:1,SM C26:0,SM C26:1,H1,Ala,Arg,Cit,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Orn,Phe,Pro,Ser,Thr,Trp,Tyr,Val,ADMA,c4-OH-Pro,Carnosine,Creatinine,Dopamine,Histamine,Kynurenine,Met-SO,SDMA,Serotonin,Spermidine,t4-OH-Pro
41812hC,41812hKF,418,12hC,0,0,1,E-Spiro,E-Spirodynamic,Calving cluster,dynamic,3,CAR,1.004,5.561,0.9262,2.48,0.06,0.045,0.048,0.033,0.043,0.051,0.043,0.046,0.114,0.054,0.039,0.101,0.074,0.19,0.158,0.056,0.202,0.067,0.163,0.134,0.085,0.1,0.551,0.154,0.085,0.034,0.029,0.025,0.038,0.057,0.046,0.059,0.042,0.03,0.196,0.053,0.05,0.065,0.031,0.511,0.077,0.06,0,0.255,0.122,0.084,0.076,0,0.042,0,0,0.051,0.091,0.019,0.244,0.021,0.085,0,0.135,0.07,0.015,0,0.687,0.137,0.045,0.089,0.062,0.217,0.188,0.218,0.041,0.012,0.009,0,0.012,0.034,0.045,0.04,0,0.172,0,0,0.017,0.016,0.058,0.015,0.007,0.071,0,0.004,0.024,0.058,0,0,0.052,0.019,0.121,0.149,0.07,0.018,0.076,0.11,0.103,0.035,0,0,0.096,0.029,0.014,0.013,0.036,0.014,0,0.025,0.032,0,0.024,0.017,0.018,0.115,0.011,0,0.023,0,0.244,0,0.022,0.041,0.049,0.029,0.018,0.019,0.007,0,0.366,0.019,0.042,0.013,0,0,0.034,0.025,0,0,203,60.1,0,16.8,3.95,82.4,27.9,1.06,22.3,36.9,49.9,8.95,6.27,10.7,9.99,23.5,17.8,1.97,10.2,27.8,0,0,0,0,0,0,0,3.42,0,0,14.8,0
44812hC,44812hKF,448,12hC,0,0,1,E-Spiro,E-Spirostatic,Calving cluster,static,3,CON,1.003,5.438,0.9221,1.73,0.062,0.048,0.037,0.032,0.031,0.04,0.043,0.044,0.088,0.039,0.036,0.089,0.061,0.182,0.129,0.048,0.161,0.044,0.116,0.096,0.068,0.078,0.428,0.11,0.07,0.027,0.033,0.034,0.044,0.051,0.046,0.053,0.033,0.031,0.171,0.085,0.042,0.065,0.026,0.706,0.123,0.043,0.042,0.212,0.133,0.05,0.087,0,0,0,0.078,0.092,0.037,0.023,0.272,0.029,0.12,0,0.164,0.089,0.026,0.013,0.739,0.17,0.047,0.058,0.076,0.237,0.181,0.202,0.049,0.024,0.005,0,0.019,0.039,0.037,0.032,0.017,0.168,0.012,0.006,0.014,0.014,0.075,0.011,0.012,0.085,0.011,0.004,0.025,0.082,0.024,0.011,0.051,0.021,0.145,0.141,0.065,0.024,0.083,0.098,0.085,0.034,0,0.013,0.121,0.033,0,0.016,0.035,0.021,0.004,0,0.027,0,0,0,0.018,0.121,0.017,0.008,0.019,0,0.217,0.014,0.014,0.037,0.059,0.021,0,0.036,0.013,0,0.376,0.021,0.056,0.007,0.006,0,0.054,0.024,0.005,0,283,94.2,0.93,27.6,5.08,104,36.2,0.976,27.1,44,53.2,10.7,4.12,15.4,11.3,32.5,25.8,2.64,14.7,33.1,0,0,0,0,0.065,0,0,5.21,0,0,6.49,0
306m42,306m42F,306,-42,1,0,0,E-Bifi,E-Bifidynamic,Calving cluster,dynamic,4,CAR,0.9963,5.295,0.891,1.87,0.091,0.063,0.084,0.048,0.047,0.068,0.051,0.062,0.143,0.049,0.062,0.124,0.114,0.228,0.229,0.052,0.196,0.064,0.156,0.14,0.087,0.116,0.51,0.161,0.118,0.041,0.052,0.04,0.046,0.069,0.058,0.086,0.049,0.044,0.301,0.038,0.074,0.105,0.051,2.44,0.12,0,0,0.196,0.172,0.052,0.114,0,0,0,0,0.056,0,0.021,0.265,0,0.079,0,0.059,0.02,0.022,0.012,0.321,0.062,0.022,0.103,0.057,0.077,0.048,0.172,0.022,0.016,0,0,0,0,0.015,0,0.02,0.152,0,0,0,0,0.059,0.01,0.004,0.103,0,0.006,0.012,0.048,0.011,0,0,0.015,0.055,0.063,0.026,0,0.064,0.037,0.044,0.019,0.019,0,0.116,0.031,0.01,0,0.034,0,0,0.023,0.04,0,0.035,0,0.019,0.133,0,0,0,0,0.247,0,0.014,0.056,0,0.013,0,0.01,0.02,0.003,0.077,0,0.029,0,0,0,0.033,0,0.035,0,164,49.7,1.75,16.9,6.01,39.3,22.3,0.824,18.1,33.3,42.2,8.51,2.4,13.5,7.85,21.8,13.2,2.34,13.3,25.9,0.055,0,0,0,0,0.105,0.024,3.07,0.025,0.014,3.28,0
258m42,258m42F,258,-42,0,1,0,E-Clos,E-Closundefined,Calving cluster,undefined,5,CAR,1.004,5.758,0.9136,1.5,0.057,0.053,0.045,0.033,0.04,0.061,0.049,0.049,0.131,0.043,0.044,0.115,0.103,0.185,0.19,0.06,0.176,0.057,0.129,0.119,0.078,0.094,0.493,0.141,0.104,0.036,0.044,0.034,0.048,0.052,0.048,0.059,0.045,0.036,0.254,0.042,0.054,0.119,0.028,5.12,0.17,0.062,0.07,0.273,0.228,0.115,0.115,0,0.056,0.043,0,0.052,0.05,0,0.246,0,0.119,0.015,0.107,0.052,0.04,0,0.707,0.158,0.042,0.101,0.075,0.403,0.206,0.218,0.035,0,0,0.015,0.011,0.018,0.03,0.021,0.01,0.152,0.015,0,0,0.016,0.069,0.014,0.001,0.096,0.015,0,0.012,0.081,0,0.011,0.048,0.025,0.119,0.134,0.076,0,0.087,0.152,0.072,0.037,0,0,0.109,0.038,0,0.022,0.033,0,0,0,0.026,0.016,0.026,0.016,0,0.138,0,0.011,0.046,0,0.221,0.015,0.018,0.039,0.048,0.013,0.013,0.026,0.008,0,0.239,0,0.029,0,0,0,0.041,0.021,0.012,0.02,521,70.9,1.05,12.7,5.04,44.2,26.3,0.846,16.9,26.6,36,5.27,3.71,10.5,9.08,21.7,11.8,1.8,9.95,24.9,0.095,0,0,0,0.045,0.117,0,4.05,0.069,0,9.01,0
40212hC,40212hKF,402,12hC,0,1,0,E-Clos,E-Closstatic,Calving cluster,static,3,CON,1.004,5.547,0.9202,1.99,0.067,0.045,0.291,0.038,0.039,0.055,0.046,0.064,0.133,0.051,0.043,0.129,0.088,0.217,0.204,0.047,0.201,0.063,0.127,0.12,0.074,0.107,0.594,0.161,0.11,0.045,0.05,0.042,0.058,0.067,0.047,0.065,0.06,0.032,0.254,0.046,0.06,0.111,0.03,0.45,0,0,0.029,0.144,0.1,0.103,0,0,0,0.045,0.06,0.133,0.062,0.018,0.268,0.026,0.103,0,0.102,0.07,0,0,0.601,0.108,0.026,0.102,0.053,0.168,0.143,0.198,0.03,0.019,0.009,0,0.011,0.011,0.029,0,0.018,0.166,0,0,0.009,0,0.066,0,0.006,0.094,0.018,0,0.024,0.061,0.015,0.008,0.04,0,0.085,0.127,0.05,0.023,0.057,0.067,0.074,0.022,0.015,0,0.095,0.037,0.027,0,0.054,0.032,0,0.027,0.03,0,0.031,0.007,0.019,0.118,0,0.023,0,0,0.229,0,0,0.051,0.058,0.025,0.025,0.015,0.019,0,0.346,0.024,0.047,0,0.013,0.003,0.023,0.069,0,0,340,40.6,0,10,4.13,44.6,17.6,0,9.57,20.1,29.2,4.34,2.77,7.54,8.15,20.6,12.5,1.45,6.83,16.5,0,0,0,0,0.066,0.108,0,2.53,0,0,2.79,0
44112hC,44112hKF,441,12hC,0,1,0,E-Clos,E-Closundefined,Calving cluster,undefined,3,CON,0.9903,5.117,0.8629,1.49,0.066,0.031,0.034,0.021,0.025,0.031,0.041,0.031,0.067,0.036,0.029,0.063,0.047,0.107,0.08,0.038,0.137,0.046,0.087,0.104,0.053,0.067,0.402,0.117,0.057,0.024,0.029,0.039,0.045,0.035,0.03,0.046,0.034,0.028,0.149,0.032,0.039,0.071,0.021,0.618,0.089,0.096,0.028,0.182,0.105,0.072,0.075,0.02,0.033,0,0,0.043,0.057,0.024,0.284,0.024,0.085,0,0.104,0,0.018,0.012,0.668,0.17,0.035,0.102,0.068,0.191,0.148,0.198,0.043,0,0,0.011,0.008,0.025,0.035,0.026,0.016,0.161,0.009,0,0.009,0.007,0.068,0.015,0,0.111,0.011,0,0.021,0.046,0.012,0.006,0.017,0.009,0.08,0.087,0.045,0,0.059,0.067,0.05,0.026,0.01,0,0.099,0.026,0.009,0.023,0.03,0.025,0,0,0.024,0.014,0.034,0.009,0.018,0.131,0.015,0.011,0.021,0,0.224,0,0.02,0.042,0.048,0.022,0.025,0.021,0.001,0.011,0.345,0.014,0.036,0.007,0,0,0.039,0.033,0.009,0.014,622,98.8,0,20.4,4.42,99.4,36.7,0.924,21.2,35.4,51.2,8.42,6.75,13.2,13.8,35.6,28.5,2.25,12.6,30.9,0,0,0,0,0.07,0.135,0,4.78,0,0,6.85,0
422m42,422m42F,422,-42,0,0,1,E-Spiro,E-Spirodynamic,Calving cluster,dynamic,3,CON,0.9957,4.756,0.8959,1.72,0.096,0.058,0.187,0.042,0.036,0.047,0.049,0.057,0.129,0.054,0.056,0.126,0.082,0.22,0.171,0.059,0.156,0.057,0.146,0.143,0.082,0.093,0.478,0.161,0.157,0.052,0.047,0.042,0.055,0.073,0.056,0.063,0.044,0.04,0.189,0.05,0.059,0.092,0.05,0.421,0,0.053,0,0.205,0.109,0.049,0.045,0,0,0.049,0.075,0.055,0,0,0.255,0.017,0.099,0,0.089,0.047,0,0.011,0.427,0.08,0.029,0.084,0.086,0.123,0.057,0.235,0.03,0.02,0,0.015,0.002,0,0.015,0.026,0,0.155,0,0,0.02,0,0.071,0,0.01,0.09,0,0.002,0.021,0.057,0.015,0,0.026,0.019,0.08,0.066,0.04,0.019,0.086,0.062,0,0.021,0.019,0,0.109,0.019,0,0,0.042,0,0.005,0.018,0.025,0.016,0.033,0,0.014,0.145,0,0.015,0.022,0,0.232,0,0,0.042,0.058,0.016,0.018,0.048,0,0.007,0.127,0.016,0.02,0,0.013,0,0.041,0,0.021,0,131,41.1,0,13.8,3.47,41.4,18.6,0,13,22.9,24.5,5.03,0,8.94,6.06,13.3,10.4,1.31,7.98,14.9,0,0,0,0,0.979,0.103,0,3.52,0,0,4.41,0
404m42,404m42F,404,-42,0,0,1,E-Spiro,E-Spirostatic,Calving cluster,static,3,CAR,1.003,5.428,0.9317,1.62,0.054,0.053,0.055,0.043,0.043,0.058,0.047,0.051,0.118,0.044,0.044,0.112,0.092,0.196,0.166,0.044,0.171,0.059,0.12,0.102,0.073,0.093,0.536,0.11,0.094,0.037,0.044,0.03,0.039,0.062,0.044,0.057,0.046,0.034,0.22,0.029,0.045,0.062,0.034,2.98,0,0.035,0,0.142,0.143,0.071,0.065,0,0,0,0.072,0.038,0,0.03,0.27,0.023,0.069,0,0.045,0.033,0,0,0.356,0.055,0.026,0.1,0.06,0.082,0.066,0.209,0,0,0.009,0.011,0.02,0.014,0.026,0.025,0,0.164,0.016,0,0,0.015,0.071,0,0.006,0.107,0.015,0.005,0.022,0.043,0.013,0,0,0.02,0.044,0.04,0.04,0,0.057,0.039,0.032,0,0.011,0,0.098,0.024,0,0.013,0.023,0.021,0,0.019,0.038,0.009,0.036,0.008,0.007,0.121,0.019,0,0.037,0.004,0.207,0,0.019,0.048,0.058,0,0,0.02,0.011,0,0.048,0,0,0.013,0,0,0,0.009,0.002,0,91.6,368,0.478,94.6,0,290,8.2,0.45,4.48,12.4,18.2,2.78,1.84,4.07,2.84,7.85,0,0.583,3.72,6.49,0,0,0,0,0.238,0.11,0,1.84,0,0.298,23.5,0
443m42,443m42F,443,-42,0,0,1,E-Spiro,E-Spirodynamic,Calving cluster,dynamic,3,CAR,0.9885,4.601,0.8605,1.46,0.049,0.027,0.067,0.026,0.022,0.031,0.029,0.027,0.07,0.029,0.03,0.064,0.049,0.115,0.097,0.041,0.127,0.05,0.093,0.112,0.054,0.064,0.416,0.124,0.054,0.022,0.022,0.022,0.027,0.033,0.032,0.04,0.031,0.024,0.128,0.068,0.034,0.052,0.016,0.593,0.092,0.074,0.031,0.149,0.132,0.039,0.067,0.034,0,0.036,0,0.06,0,0.015,0.241,0.016,0.09,0,0.091,0.046,0.018,0.007,0.364,0.106,0.023,0.109,0.066,0.135,0.119,0.143,0.033,0.011,0,0.012,0.009,0.016,0.013,0.028,0,0.174,0.013,0,0.007,0.015,0.055,0.017,0,0.106,0.013,0.003,0.02,0.055,0.017,0,0.016,0.015,0.086,0.057,0.041,0.018,0.075,0.055,0.047,0.023,0,0.006,0.102,0.024,0.01,0.02,0,0.015,0.01,0.019,0.031,0.006,0.025,0.008,0.021,0.112,0.012,0.015,0,0,0.235,0.01,0.02,0.037,0.051,0.014,0.016,0.012,0.004,0,0.135,0,0.012,0.005,0.011,0.002,0.025,0.012,0.012,0,306,50.6,0,13.1,4.03,53.7,16.4,0.616,10.4,20.5,28.5,5.6,2.42,7.31,6.26,14.1,13,1.01,6.72,15.5,0.099,0,0,0,0.083,0.116,0.139,3.06,0,0.041,4.81,0
311m42,311m42F,311,-42,0,1,0,E-Clos,E-Closstatic,Calving cluster,static,4,CON,1.002,5.717,0.8853,2.14,0.087,0.077,0.091,0.055,0.071,0.099,0.08,0.094,0.201,0.085,0.07,0.184,0.159,0.307,0.309,0.068,0.26,0.113,0.204,0.145,0.127,0.172,0.605,0.185,0.182,0.057,0.068,0.058,0.076,0.088,0.081,0.097,0.072,0.055,0.421,0.06,0.09,0.08,0.066,0.553,0.253,0,0,0.187,0,0,0.097,0.051,0,0,0.063,0.058,0,0.034,0.257,0,0,0,0.076,0.033,0,0.015,0.359,0.07,0.028,0.11,0.068,0.13,0.094,0.217,0,0,0,0.017,0.021,0,0.013,0.034,0,0.149,0.019,0.011,0,0.034,0.075,0,0.012,0.109,0.011,0,0,0,0.018,0,0.031,0,0.065,0.067,0.062,0,0.078,0,0.051,0,0,0,0.104,0.036,0.013,0,0.047,0,0,0,0.044,0,0,0,0.021,0.151,0.026,0,0,0.003,0.221,0.021,0.033,0.038,0.054,0,0.019,0.014,0.024,0,0.089,0,0.02,0,0,0,0.028,0.02,0,0,165,27,0.634,8.27,4.65,26.4,11.1,0.516,6.43,12.5,23.3,3.4,2.62,5.14,4.47,9.81,8,0.802,4.83,10.2,0,0,0,0,0.027,0.11,0,1.16,0,0.03,4.77,0
