Row Labels	Alistipes	Allisonella	Alloprevotella	Anaeroplasma	Anaerotruncus	Anaerovibrio	Anaerovorax	Bacteroides	Bifidobacterium	Blautia	Butyricicoccus	Catabacter	Catenisphaera	Cellulosilyticum	Clostridium IV	Clostridium sensu stricto	Clostridium XlVa	Clostridium XlVb	Coprobacillus	Denitrobacterium	Erysipelotrichaceae_incertae_sedis	Escherichia/Shigella	Faecalibacterium	Fusicatenibacter	Fusobacterium	Lachnospiracea_incertae_sedis	Lactobacillus	Megasphaera	Olsenella	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Pelistega	Phascolarctobacterium	Prevotella	Pseudoflavonifractor	Pseudoscardovia	Ralstonia	Romboutsia	Roseburia	Ruminococcus	Saccharibacteria_genera_incertae_sedis	Schwartzia	Sharpea	Slackia	Solobacterium	Streptococcus	Subdoligranulum	Succiniclasticum	Succinivibrio	Syntrophococcus	Terrisporobacter	Treponema	Turicibacter	Unclassified Acetobacteraceae	Unclassified Acholeplasmatales	Unclassified Acidaminococcaceae	Unclassified Actinobacteria	Unclassified Actinomycetaceae	Unclassified Alphaproteobacteria	Unclassified Anaeroplasmataceae	Unclassified Anaeroplasmatales	Unclassified Bacillales	Unclassified Bacilli	Unclassified Bacteria	Unclassified Bacteroidales	Unclassified Bacteroidetes	Unclassified Bacteroidia	Unclassified Betaproteobacteria	Unclassified Bifidobacteriaceae	Unclassified Candidatus Saccharibacteria	Unclassified Catabacteriaceae	Unclassified Clostridia	Unclassified Clostridiaceae 1	Unclassified Clostridiales	Unclassified Clostridiales incertae sedis	Unclassified Clostridiales_Incertae Sedis XIII	Unclassified Coriobacteriaceae	Unclassified Coriobacteriales	Unclassified Deltaproteobacteria	Unclassified Enterobacteriaceae	Unclassified Entomoplasmatales	Unclassified Erysipelotrichaceae	Unclassified Erysipelotrichales	Unclassified Erysipelotrichia	Unclassified Fibrobacteraceae	Unclassified Gammaproteobacteria	Unclassified Haloplasmatales	Unclassified Lachnospiraceae	Unclassified Marinilabiliaceae	Unclassified Mollicutes	Unclassified Oscillospiraceae	Unclassified Peptostreptococcaceae	Unclassified Porphyromonadaceae	Unclassified Prevotellaceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified Saccharibacteria_genera_incertae_sedis	Unclassified Selenomonadales	Unclassified Spirochaetaceae	Unclassified Spirochaetales	Unclassified Streptococcaceae	Unclassified Succinivibrionaceae	Unclassified Veillonellaceae	Victivallis
1	0.02277	0	0.000906	0.000488	0	0	0.001503	0.000361	0.150568	0.000493	0.000289	0.000192	0.000238	0.000106	0.000006	0.049309	0.001338	0.000372	0	0.000119	0.000531	0.000303	0	0	0.000198	0.000449	0.002253	0	0.025828	0.002428	0.010802	0.000311	0	0.000008	0	0.00006	0.000698	0.003427	0.000939	0.002094	0	0.000511	0	0.000048	0.000206	0.000008	0.000066	0.000173	0	0.001098	0.000722	0.000448	0	0.000136	0.041415	0	0.000053	0.008971	0.00013	0	0.000015	0	0	0.000596	0.000256	0.011953	0.267862	0.035487	0.008087	0.000062	0.000217	0.000456	0.000425	0.008764	0.001012	0.109791	0.000043	0	0.007813	0.000414	0.000157	0.002661	0	0.002979	0.001858	0.001468	0	0.000073	0.000018	0.088783	0.000561	0.000029	0.002879	0.013699	0.007178	0.001565	0.000672	0.016699	0.06061	0.001529	0.000391	0.003587	0	0	0.000023	0.005954	0
39	0.029065	0	0.000118	0	0	0.000371	0.002094	0.001385	0.020327	0	0	0	0	0.000201	0	0.029403	0	0.001753	0	0.000132	0.001887	0.00069	0	0	0.000158	0	0.000268	0	0.003548	0.009161	0.003467	0	0	0	0	0	0	0	0.000272	0	0	0.004101	0	0	0	0	0	0.00037	0	0.000118	0.000329	0	0.000753	0.00011	0.059743	0	0	0.008781	0.000257	0	0	0	0	0	0.001755	0.013081	0.27181	0.114396	0.020727	0.000049	0.000135	0	0.000794	0.016846	0	0.150621	0.000114	0	0.01277	0	0.000677	0.002672	0.000031	0.00175	0.001434	0	0.00805	0	0.000063	0.045357	0.015858	0	0.000322	0.001287	0.001042	0.000224	0.003813	0.011816	0.114997	0.001984	0	0.005793	0	0	0.000146	0.000724	0
227	0.001224	0	0.0022	0.000785	0	0	0	0.000015	0.130014	0	0	0.000361	0.000019	0	0.000021	0.021137	0	0	0	0.000087	0	0.002236	0	0	0	0	0	0.000215	0.033948	0.012564	0	0.002285	0	0.000007	0	0	0.000626	0.000312	0	0	0	0.00109	0.000041	0	0.009089	0	0.000014	0	0	0.000113	0.000579	0.00105	0	0.000043	0.022592	0.000015	0	0.008352	0.000466	0	0.000082	0.000051	0.000108	0.000014	0.001703	0.017041	0.236939	0.135798	0.012344	0.00003	0.00053	0.000146	0.001283	0.016818	0.000225	0.155964	0.000104	0	0.013249	0.0002	0	0.002757	0.000201	0.00435	0.001262	0.000029	0.000481	0	0.000097	0.00627	0.007449	0.000041	0.005221	0.005971	0.003813	0	0.003709	0.009334	0.101886	0.00038	0.000019	0.000081	0	0	0.000495	0.002013	0.000015
243	0.000351	0	0.000125	0.000232	0	0	0	0	0.104972	0	0	0.000069	0	0	0.000305	0.021117	0	0	0	0.000057	0	0.000276	0	0	0	0	0	0	0.019751	0.011986	0	0	0	0.00006	0	0	0.000762	0.000327	0.000068	0	0	0.001057	0.000057	0	0.000031	0	0.000231	0	0	0.000019	0	0	0	0	0.046933	0	0	0.012245	0.000182	0	0.00012	0	0	0	0.000294	0.012159	0.269567	0.079908	0.016237	0.000034	0.000356	0.000166	0.001995	0.027345	0.000339	0.178383	0.000071	0	0.016321	0.000377	0	0	0.00007	0.001696	0.000274	0	0	0	0.000039	0.004386	0.016454	0.000054	0.002356	0	0.003056	0	0.005767	0.011365	0.123695	0.001502	0	0.000409	0	0	0.001519	0.00247	0
245	0.044846	0	0.001248	0.000629	0	0	0.001017	0.003233	0.033908	0.000324	0	0.000043	0.004729	0.000098	0	0.024964	0.000192	0.001358	0	0.000176	0.000126	0.000161	0.001269	0.000071	0	0.000586	0.000161	0	0.018845	0.009	0.006056	0	0	0.000023	0	0.000232	0.000335	0.000244	0.000017	0	0	0.000653	0.00007	0.000026	0	0	0	0.001282	0	0.00005	0	0.000455	0	0	0.057188	0.000055	0	0.008248	0.001082	0	0	0	0	0.003241	0.000775	0.015858	0.218697	0.060724	0.013113	0.000179	0.000301	0	0.00097	0.020783	0.000549	0.197289	0	0	0.012295	0.000074	0.000237	0.000182	0	0.001621	0.000578	0.000587	0.000212	0.000167	0	0.087356	0.011646	0.00002	0.005445	0.000792	0.002965	0.000187	0.003096	0.005874	0.105363	0.001585	0.000293	0.001957	0	0.000055	0.000688	0.00125	0
248	0.033955	0	0.000372	0.000353	0	0	0.00148	0.000011	0.115141	0	0	0.000167	0.00318	0.000133	0	0.032784	0.000454	0.001739	0	0.000111	0	0	0	0	0	0.00036	0.000483	0	0.034038	0.005608	0.010009	0	0	0.000574	0	0.00008	0.00003	0.000084	0	0	0	0.001477	0	0	0	0	0	0.001387	0	0.000007	0	0.000721	0.00013	0	0.067652	0	0	0.00801	0.000588	0	0	0	0	0.001494	0.000164	0.011029	0.241391	0.036737	0.008418	0.000169	0.000026	0	0.000411	0.016514	0.000821	0.154963	0	0	0.006761	0.000122	0	0	0	0.002131	0.000166	0.0006	0	0	0	0.087098	0.009449	0.000049	0.003427	0.001301	0.00428	0.000147	0.003083	0.005879	0.077756	0.00128	0	0	0	0.000675	0	0.002543	0
258	0.002578	0	0.000539	0.001492	0	0	0.000073	0.00006	0.162928	0.000052	0.000046	0.000344	0.000034	0.000073	0.000045	0.024856	0	0	0	0.000224	0.000142	0	0	0	0	0	0	0	0.050972	0.011189	0.000237	0	0	0	0.000057	0	0.000123	0.000032	0.000009	0.000766	0	0.001397	0.000036	0.000038	0	0	0.000083	0	0	0.000046	0	0.001094	0	0	0.044091	0.000027	0	0.012802	0.000208	0	0.00007	0	0.000041	0	0.000339	0.011926	0.233879	0.037322	0.014658	0.000175	0.000027	0.000131	0.001394	0.02282	0.001241	0.179029	0.000054	0	0.010616	0.000144	0	0	0.000096	0.001143	0.0005	0.000018	0	0	0	0.012087	0.017383	0.000009	0.008086	0.006494	0.003607	0	0.00121	0.005894	0.108661	0.001735	0.00063	0.000826	0	0	0	0.00106	0
259	0.000483	0	0.000039	0	0	0	0.000071	0	0.162607	0.00381	0	0.000429	0	0	0	0.081237	0	0	0	0.00024	0	0	0	0	0	0	0	0	0.018489	0.004781	0.000169	0	0	0	0.000413	0	0.000236	0.001881	0	0	0	0	0	0	0	0	0.000182	0	0	0.000181	0	0	0	0	0	0	0	0.017743	0	0	0	0	0	0.000111	0.000055	0.011548	0.39376	0.080373	0.023781	0	0.000512	0	0.001193	0.007883	0.001792	0.08568	0	0	0.008834	0.000506	0	0	0	0.00122	0	0	0	0	0	0.007553	0	0	0.002113	0	0.004679	0	0.00092	0.009847	0.062465	0.001555	0	0	0	0	0	0.00063	0
304	0.032291	0	0.000436	0	0	0	0.002282	0.000473	0.195538	0.000113	0.000037	0	0	0	0	0.037927	0.000333	0.001754	0	0.000197	0	0	0	0.000226	0	0.001376	0.001325	0	0.039688	0.002455	0.01147	0	0	0	0	0	0.000401	0.000228	0	0	0.000435	0	0	0	0	0	0.000093	0.000147	0	0.000197	0	0.000474	0	0	0	0	0	0.009322	0	0	0	0	0	0.002635	0.000069	0.007665	0.287618	0.016394	0.010773	0	0.000236	0	0	0.012993	0.000842	0.119075	0	0	0.005288	0.000429	0	0	0	0.002403	0	0.000156	0	0	0	0.12193	0	0	0.005623	0	0.004964	0	0	0.006098	0.051549	0.001696	0.000509	0	0	0	0	0.00184	0
305	0.006207	0	0.000632	0.000125	0.000189	0.0003	0.000074	0.000292	0.096622	0	0.004618	0.000019	0	0.000078	0.000155	0.057363	0	0	0	0.000327	0	0.000012	0	0.000015	0	0.000173	0.000073	0	0.032926	0.001333	0.00183	0.000217	0	0	0.000011	0	0.000101	0.000339	0	0.000748	0.000223	0.000747	0.000037	0	0.00007	0	0.000018	0	0.000435	0.000334	0.000856	0	0	0.000566	0.001543	0	0	0.027434	0	0	0	0.000043	0.000147	0	0.000086	0.013021	0.381217	0.043706	0.01351	0.000424	0	0	0.000328	0.018015	0.000592	0.141507	0	0	0.010773	0.000134	0.000146	0.000062	0	0.002624	0.000294	0.000029	0	0.00005	0	0.017546	0.000244	0	0.002674	0.004719	0.008785	0.003295	0.000397	0.010782	0.083532	0.002425	0.000029	0	0	0	0.000358	0.001463	0
